TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704231023275301600,0.0,61.4,"(-498, 937)",0,0,0,0,0,0,0,0,0,0,0,0
1704231023790770800,0.0,61.4,"(-428, 1409)",0,0,0,0,0,0,0,0,0,0,0,0
1704231024294228300,0.0,61.4,"(-367, 1399)",0,0,0,0,0,0,0,0,0,0,0,0
1704231024804692600,0.0,61.4,"(-511, 1408)",1,0,0,0,0,0,0,0,0,0,0,0
1704231025320167900,0.0,61.4,"(-502, 1408)",0,0,0,0,0,0,0,0,0,0,0,0
1704231025835637000,0.0,61.5,"(-543, 1198)",0,0,0,0,0,0,0,0,0,0,0,0
1704231026355108800,0.0,61.5,"(-632, 1272)",1,0,0,0,0,0,0,0,0,0,0,0
1704231026865076400,0.0,61.6,"(-761, 1422)",0,0,0,0,0,0,0,0,0,0,0,0
1704231027373042000,0.0,61.6,"(-631, 892)",0,0,0,0,0,0,0,0,0,0,0,0
1704231027884023800,0.0,61.5,"(-480, 792)",0,0,0,0,0,0,0,0,0,0,0,0
1704231028388482300,0.0,61.5,"(-353, 762)",0,0,0,0,0,0,0,0,0,0,0,0
1704231028900947900,0.0,61.4,"(891, 750)",1,0,0,0,0,0,0,0,0,0,0,0
1704231029413414600,0.0,61.3,"(939, 1253)",0,0,0,0,0,0,0,0,0,0,0,0
1704231029919874700,0.0,61.3,"(949, 1414)",1,0,0,0,0,0,0,0,0,0,0,0
1704231030431842500,0.0,61.3,"(1280, 717)",0,0,0,0,0,0,0,0,0,0,0,0
1704231030944308800,0.0,61.2,"(1295, 411)",0,0,0,0,0,0,0,0,0,0,0,0
1704231031456774400,0.0,61.1,"(1101, 358)",1,0,0,0,0,0,0,0,0,0,0,0
1704231031967238700,0.0,61.2,"(1072, 293)",0,0,0,0,0,0,0,0,0,0,0,0
1704231032481706200,0.0,61.5,"(782, 253)",1,0,0,0,0,0,0,0,0,0,0,0
1704231032991674200,0.0,61.5,"(1005, 243)",1,0,0,0,0,0,0,0,0,0,0,0
1704231033500136800,0.0,61.5,"(1258, 229)",2,0,0,0,0,0,0,0,0,0,0,0
1704231034014604300,0.0,61.6,"(767, 239)",0,0,0,0,0,0,0,0,0,0,0,0
1704231034523066700,0.0,61.6,"(828, 404)",0,0,0,0,0,0,0,0,0,0,0,0
1704231035033530700,0.0,61.6,"(1074, 299)",0,0,0,0,0,0,0,0,0,0,0,0
1704231035547998500,0.0,61.6,"(1153, 305)",0,0,0,0,0,0,0,0,0,0,0,0
1704231036059966600,0.0,61.6,"(1126, 458)",0,0,0,0,0,0,0,0,0,0,0,0
1704231036572432600,0.0,61.4,"(1050, 429)",0,0,0,0,0,0,0,0,0,0,0,0
1704231037084898900,0.0,61.4,"(1023, 529)",0,0,0,0,0,0,0,0,0,0,0,0
1704231037597364300,0.0,61.4,"(1023, 532)",0,0,0,0,0,0,0,0,0,0,0,0
1704231038103825100,0.0,61.4,"(1023, 532)",0,0,0,0,0,0,0,0,0,0,0,0
1704231038612286900,0.0,61.4,"(1023, 532)",0,0,0,0,0,0,0,0,0,0,0,0
1704231039128756300,0.0,61.4,"(1023, 532)",0,0,0,0,0,0,0,0,0,0,0,0
1704231039637219000,0.0,61.4,"(1022, 531)",0,0,0,0,0,0,0,0,0,0,0,0
1704231040151686900,0.0,61.4,"(742, 529)",0,0,0,0,0,0,0,0,0,0,0,0
1704231040658147100,0.0,61.4,"(1210, 520)",0,0,0,0,0,0,0,0,0,0,0,0
1704231041170612900,0.0,61.4,"(1223, 517)",0,0,0,0,0,0,0,0,0,0,0,0
1704231041685080800,0.0,61.4,"(1223, 517)",0,0,0,0,0,0,0,0,0,0,0,0
1704231042195544600,0.0,61.4,"(1223, 517)",0,0,0,0,0,0,0,0,0,0,0,0
1704231042708010800,0.0,61.4,"(1233, 520)",0,0,0,0,0,0,0,0,0,0,0,0
1704231043219980100,0.0,61.4,"(1268, 546)",0,0,0,0,0,0,0,0,0,0,0,0
1704231043732445800,0.0,61.3,"(1268, 546)",0,0,0,0,0,0,0,0,0,0,0,0
1704231044238906000,0.0,61.3,"(1268, 546)",0,0,0,0,0,0,0,0,0,0,0,0
1704231044751372000,0.0,61.3,"(1261, 546)",0,0,0,0,0,0,0,0,0,0,0,0
1704231045260834700,0.0,61.3,"(1248, 545)",0,0,0,0,0,0,0,0,0,0,0,0
1704231045768296400,0.0,61.3,"(1231, 544)",0,0,0,0,0,0,0,0,0,0,0,0
1704231046281763800,0.0,61.0,"(1231, 544)",0,0,0,0,0,0,0,0,0,0,0,0
1704231046789736800,0.0,61.0,"(1231, 544)",0,0,0,0,0,0,0,0,0,0,0,0
1704231047300201000,0.0,60.9,"(1230, 514)",0,0,0,0,0,0,0,0,0,0,0,0
1704231047809664200,0.0,60.9,"(1263, 336)",0,0,0,0,0,0,0,0,0,0,0,0
1704231048323130600,0.0,60.9,"(1256, 511)",0,0,0,0,0,0,0,0,0,0,0,0
1704231048831593300,0.0,60.9,"(1274, 564)",0,0,0,0,0,0,0,0,0,0,0,0
1704231049344058900,0.0,60.9,"(1256, 513)",0,0,0,0,0,0,0,0,0,0,0,0
1704231049860528100,0.0,60.9,"(1240, 499)",0,0,0,0,0,0,0,0,0,0,0,0
1704231050370992600,0.0,60.9,"(1262, 527)",0,0,0,0,0,0,0,0,0,0,0,0
1704231050879454800,0.0,60.9,"(1262, 527)",0,0,0,0,0,0,0,0,0,0,0,0
1704231051387917200,0.0,60.9,"(1262, 527)",2,0,0,0,0,0,0,0,0,0,0,0
1704231051900383000,0.0,60.9,"(1279, 530)",0,2,0,0,0,0,0,0,0,0,0,0
1704231052415851500,0.0,60.9,"(1665, 615)",0,1,0,0,0,0,0,0,0,0,0,0
1704231052928821300,0.0,60.9,"(2122, 638)",0,2,0,0,0,0,0,0,0,0,0,0
1704231053439285800,0.0,60.9,"(1049, 760)",0,0,0,0,0,0,0,0,0,0,0,0
1704231053947747900,0.0,60.9,"(1112, 544)",0,0,0,0,0,0,0,0,0,0,0,0
1704231054464217700,0.0,60.9,"(951, 273)",0,0,0,0,0,0,0,0,0,0,0,0
1704231054973680800,0.0,60.9,"(963, 240)",1,0,0,0,0,0,0,0,0,0,0,0
1704231055479139800,0.0,60.9,"(977, 589)",0,0,0,0,0,0,0,0,0,0,0,0
1704231055995609400,0.0,60.9,"(1473, 710)",0,1,0,0,0,0,0,0,0,0,0,0
1704231056503079000,0.0,60.9,"(1517, 556)",0,1,0,0,0,0,0,0,0,0,0,0
1704231057019051300,0.0,60.9,"(2057, 516)",0,3,0,0,0,0,0,0,0,0,0,0
1704231057531517600,0.0,60.9,"(2288, 575)",0,1,0,0,0,0,0,0,0,0,0,0
1704231058041981500,0.0,60.9,"(2155, 585)",0,3,0,0,0,0,0,0,0,0,0,0
1704231058550444000,0.0,60.9,"(377, 710)",0,2,0,0,0,0,0,0,0,0,0,0
1704231059062909300,0.0,60.9,"(429, 703)",0,0,0,0,0,0,0,0,0,0,0,0
1704231059572884700,0.0,60.9,"(1291, 600)",0,0,0,0,0,0,0,0,0,0,0,0
1704231060076846900,0.0,60.9,"(1379, 593)",0,0,0,0,0,0,0,0,0,0,0,0
1704231060593315900,0.0,60.9,"(1458, 525)",1,0,0,0,0,0,0,0,0,0,0,0
1704231061099776700,0.0,60.9,"(542, 410)",1,0,0,0,0,0,0,0,0,0,0,0
1704231061611745900,0.0,60.8,"(1162, 383)",0,3,0,0,0,0,0,0,0,0,0,0
1704231062127717400,0.0,60.8,"(2422, 477)",0,1,0,0,0,0,0,0,0,0,0,0
1704231062636180200,0.0,60.8,"(2392, 1251)",1,0,0,0,0,0,0,0,0,0,0,0
1704231063150647800,0.0,60.8,"(1914, 957)",0,2,0,0,0,0,0,0,0,0,0,0
1704231063657108300,0.0,60.8,"(1929, 930)",0,2,0,0,0,0,0,0,0,0,0,0
1704231064165570400,0.0,60.8,"(1900, 882)",0,0,0,0,0,0,0,0,0,0,0,0
1704231064678036300,0.0,60.8,"(1672, 836)",0,0,0,0,0,0,0,0,0,0,0,0
1704231065186498100,0.0,60.8,"(1048, 579)",0,0,0,0,0,0,0,0,0,0,0,0
1704231065702968000,0.0,60.8,"(1048, 579)",0,0,0,0,0,0,0,0,0,0,0,0
1704231066207938200,0.0,60.8,"(1048, 579)",0,0,0,0,0,0,0,0,0,0,0,0
1704231066720404000,0.0,60.8,"(1048, 579)",0,0,0,0,0,0,0,0,0,0,0,0
1704231067232870100,0.0,60.8,"(1048, 579)",0,0,0,0,0,0,0,0,0,0,0,0
1704231067742837100,0.0,60.8,"(973, 864)",0,0,0,0,0,0,0,0,0,0,0,0
1704231068255302600,0.0,60.8,"(901, 1043)",0,0,0,0,0,0,0,0,0,0,0,0
1704231068767768900,0.0,60.8,"(765, 654)",0,0,0,0,0,0,0,0,0,0,0,0
1704231069284237800,0.0,60.8,"(724, 954)",0,0,0,0,0,0,0,0,0,0,0,0
1704231069792700600,0.0,60.8,"(664, 1059)",0,0,0,0,0,0,0,0,0,0,0,0
1704231070301162900,0.0,60.8,"(664, 1059)",1,0,0,0,0,0,0,0,0,0,0,0
1704231070811626900,0.0,60.8,"(714, 1053)",0,0,0,0,0,0,0,0,0,0,0,0
1704231071322595200,0.0,60.8,"(1520, 577)",0,0,0,0,0,0,0,0,0,0,0,0
1704231071835061100,0.0,60.8,"(1529, 564)",0,0,0,0,0,0,0,0,0,0,0,0
1704231072346525900,0.0,60.8,"(1529, 564)",0,0,0,0,0,0,0,0,0,0,0,0
1704231072859992300,0.0,60.8,"(1529, 564)",0,0,0,0,0,0,0,0,0,0,0,0
1704231073368454900,0.0,60.8,"(1717, 954)",0,1,0,0,0,0,0,0,0,0,0,0
1704231073880920800,0.0,60.8,"(1597, 844)",0,1,0,0,0,0,0,0,0,0,0,0
1704231074392392600,0.0,60.8,"(1730, 847)",0,0,0,0,0,0,0,0,0,0,0,0
1704231074904858400,0.0,60.8,"(1603, 827)",0,0,0,0,0,0,0,0,0,0,0,0
1704231075412823800,0.0,60.8,"(1488, 823)",0,0,0,0,0,0,0,0,0,0,0,0
1704231075926794000,0.0,60.8,"(1502, 826)",0,0,0,0,0,0,0,0,0,0,0,0
1704231076433255100,0.0,60.8,"(1527, 810)",0,0,0,0,0,0,0,0,0,0,0,0
1704231076947722200,0.0,60.8,"(1633, 865)",0,0,0,0,0,0,0,0,0,0,0,0
1704231077458186400,0.0,60.9,"(1201, 876)",0,0,0,0,0,0,0,0,0,0,0,0
1704231077968650800,0.0,60.9,"(1148, 881)",0,0,0,0,0,0,0,0,0,0,0,0
1704231078476616100,0.0,60.9,"(1158, 867)",0,0,0,0,0,0,0,0,0,0,0,0
1704231078989081900,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231079503549700,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231080012012200,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231080525982400,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231081038448300,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231081544411900,0.0,60.9,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231082059880300,0.0,60.8,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231082569350300,0.0,60.8,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231083085819800,0.0,60.8,"(1184, 863)",0,0,0,0,0,0,0,0,0,0,0,0
1704231083594786700,0.0,60.9,"(1243, 868)",0,0,0,0,0,0,0,0,0,0,0,0
1704231084101254300,0.0,60.9,"(1229, 1101)",0,0,0,0,0,0,0,0,0,0,0,0
1704231084613720200,0.0,60.8,"(1077, 1151)",0,0,0,0,0,0,0,0,0,0,0,0
1704231085122182900,0.0,60.8,"(1072, 1151)",0,0,0,0,0,0,0,0,0,0,0,0
1704231085630148300,0.0,60.8,"(1371, 728)",0,0,0,0,0,0,0,0,0,0,0,0
1704231086146617500,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231086655080000,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231087168546900,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231087680011600,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231088187976800,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231088699946000,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231089211915000,0.0,60.7,"(1494, 318)",0,0,0,0,0,0,0,0,0,0,0,0
1704231089724380700,0.0,60.7,"(1716, 421)",0,0,0,0,0,0,0,0,0,0,0,0
1704231090237848000,0.0,60.7,"(1481, 292)",0,0,0,0,0,0,0,0,0,0,0,0
1704231090743307300,0.0,60.7,"(1481, 292)",0,0,0,0,0,0,0,0,0,0,0,0
1704231091259776400,0.0,60.7,"(1479, 292)",0,2,0,0,0,0,0,0,0,0,0,0
1704231091766748800,0.0,60.7,"(898, 961)",0,3,0,0,0,0,0,0,0,0,0,0
1704231092275211000,0.0,60.7,"(1119, 812)",0,1,0,0,0,0,0,0,0,0,0,0
1704231092787677000,0.0,60.7,"(969, 765)",0,1,1,0,0,0,0,0,0,0,0,0
1704231093296139200,0.0,60.7,"(1026, 456)",0,1,0,0,0,0,1,0,0,0,0,0
1704231093812608200,0.0,60.7,"(849, 1154)",0,1,0,0,0,0,1,0,0,0,0,0
1704231094325074200,0.0,60.9,"(992, 577)",0,0,0,0,0,0,0,0,0,0,0,0
1704231094837540400,0.0,60.9,"(611, 920)",0,2,0,0,0,0,0,0,0,0,0,0
1704231095341999200,0.0,60.9,"(998, 645)",0,0,0,0,0,0,1,0,0,0,0,0
1704231095858468200,0.0,60.8,"(997, 603)",0,1,0,0,0,0,0,0,0,0,0,0
1704231096370934500,0.0,60.7,"(797, 997)",0,2,0,0,0,0,1,0,0,0,0,0
1704231096879396500,0.0,60.7,"(1039, 549)",0,0,0,0,0,0,1,0,0,0,0,0
1704231097391862200,0.0,60.7,"(1039, 521)",0,1,1,0,0,0,0,0,0,0,0,0
1704231097903831400,0.0,60.7,"(1289, 917)",0,1,0,0,0,0,0,0,0,0,0,0
