CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
22.5,69.4,-1067,-399,0,0,0,0,0,0,0,0,0,0,0,0
17.9,69.2,-629,-230,0,0,0,0,0,0,0,0,0,0,0,0
26.4,69.2,-393,-200,1,0,0,0,0,0,0,0,0,0,0,0
22.2,69.2,-330,-187,0,0,0,0,0,0,0,0,0,0,0,0
14.0,69.0,-426,1381,0,0,0,0,0,0,0,0,0,0,0,0
25.0,69.2,-422,1401,0,0,0,0,0,0,0,0,0,0,0,0
18.0,69.0,1288,715,1,0,0,0,0,0,0,0,0,0,0,0
14.8,69.0,1328,619,0,0,0,0,0,0,0,0,0,0,0,0
14.6,69.0,1226,1044,0,1,0,0,0,0,0,0,0,0,0,0
21.1,69.0,1227,1047,0,1,0,0,0,0,0,0,0,0,0,0
22.2,69.2,1349,660,0,3,0,0,0,0,0,0,0,0,0,0
17.1,69.2,1344,480,0,0,0,0,0,0,0,0,0,0,0,0
15.8,69.0,1581,592,0,2,0,0,0,0,0,0,0,0,0,0
17.5,69.0,2559,911,0,0,0,0,0,0,0,0,0,0,0,0
19.3,69.0,989,743,0,0,0,0,0,0,0,0,0,0,0,0
14.2,69.0,364,634,0,0,0,0,0,0,0,0,0,0,0,0
14.0,69.0,927,852,0,2,0,0,0,0,0,0,0,0,0,0
16.8,69.0,1069,748,0,1,0,0,0,0,0,0,0,0,0,0
17.5,68.8,1682,765,0,0,0,0,0,0,0,0,0,0,0,0
15.1,68.8,1891,753,0,1,0,0,0,0,0,0,0,0,0,0
16.8,68.8,1670,823,0,0,0,0,0,0,0,0,0,0,0,0
15.0,68.8,1864,832,0,0,0,0,0,0,0,0,0,0,0,0
14.0,68.8,1547,320,0,0,0,0,0,0,0,0,0,0,0,0
11.2,68.8,1236,544,0,0,0,0,0,0,0,0,0,0,0,0
15.1,68.8,758,260,0,1,0,0,0,0,0,0,0,0,0,0
24.4,68.8,784,1142,0,0,0,0,0,0,0,0,0,0,0,0
14.1,68.8,2559,563,0,1,0,0,0,0,0,0,0,0,0,0
15.8,68.8,459,892,0,0,0,0,0,0,0,0,0,0,0,0
14.3,68.8,722,810,0,0,0,0,0,0,0,0,0,0,0,0
17.8,68.8,861,831,0,0,0,0,0,0,0,0,0,0,0,0
20.1,68.8,891,464,0,0,0,0,0,0,0,0,0,0,0,0
17.5,68.8,957,844,0,1,0,0,0,0,0,0,0,0,0,0
14.9,68.8,1028,856,0,2,0,0,0,0,0,0,0,0,0,0
14.0,68.7,1381,429,0,2,1,0,0,0,0,0,0,0,0,0
12.6,68.7,990,989,0,2,0,0,0,0,0,0,0,0,0,0
17.1,68.7,792,980,0,2,0,0,0,0,0,0,0,0,0,0
13.3,68.7,885,697,0,2,0,0,0,0,0,0,0,0,0,0
15.0,68.7,1065,855,0,2,0,0,0,0,0,0,0,0,0,0
15.4,68.7,1289,471,0,1,0,0,0,0,1,0,0,0,0,0
13.1,68.7,1179,631,0,0,0,0,0,0,0,0,0,0,0,0
17.6,68.7,1025,776,0,2,0,0,0,0,0,0,0,0,0,0
19.0,68.7,948,727,0,2,0,0,0,0,0,0,0,0,0,0
21.0,68.7,889,762,0,1,0,0,0,0,0,0,0,0,0,0
14.2,68.7,825,876,0,3,0,0,0,0,0,0,0,0,0,0
14.3,68.7,848,543,0,2,0,0,0,0,0,0,0,0,0,0
15.3,68.7,1155,689,0,3,0,0,0,0,1,0,0,0,0,0
14.4,68.7,936,559,0,0,0,0,0,0,0,0,0,0,0,0
16.6,68.7,919,538,0,2,0,0,0,0,0,0,0,0,0,0
13.7,68.7,898,1077,0,1,0,0,0,0,0,0,0,0,0,0
17.3,68.7,1302,733,0,1,0,0,0,0,0,0,0,0,0,0
14.6,68.7,1352,451,0,0,0,0,0,0,0,0,0,0,0,0
14.5,68.7,1042,778,0,2,0,0,0,0,0,0,0,0,0,0
14.5,68.7,1161,888,0,2,0,0,0,0,0,0,0,0,0,0
11.1,68.7,1213,546,0,2,0,0,0,0,0,0,0,0,0,0
19.4,68.7,1376,938,0,2,0,0,0,0,0,0,0,0,0,0
16.1,68.8,525,780,0,2,0,0,0,0,0,0,0,0,0,0
17.5,68.8,364,1289,0,3,0,0,0,0,0,0,0,0,0,0
14.8,68.8,1135,817,0,2,0,0,0,0,0,0,0,0,0,0
16.3,68.8,1049,851,0,2,0,0,0,0,0,0,0,0,0,0
17.2,68.8,1197,872,0,2,0,0,0,0,0,0,0,0,0,0
15.6,68.8,1120,1079,0,1,0,0,0,0,0,0,0,0,0,0
17.9,68.7,1078,892,0,2,0,0,0,0,0,0,0,0,0,0
19.6,68.7,1032,774,0,1,0,0,0,0,0,0,0,0,0,0
14.0,68.7,1207,831,0,2,0,0,0,0,0,0,0,0,0,0
11.7,68.7,1264,735,0,1,0,0,0,0,0,0,0,0,0,0
17.1,68.7,684,1273,0,3,0,0,0,0,0,0,0,0,0,0
16.6,68.7,1086,973,0,3,0,0,0,0,0,0,0,0,0,0
13.2,68.8,632,917,0,2,0,0,0,0,0,0,0,0,0,0
12.2,68.8,1296,1008,0,2,0,0,0,0,0,0,0,0,0,0
13.5,68.8,1530,967,0,1,0,0,0,0,0,0,0,0,0,0
12.7,68.7,1302,1018,0,2,0,0,0,0,0,0,0,0,0,0
17.3,68.7,894,772,0,1,0,0,0,0,0,0,0,0,0,0
14.8,68.8,837,843,0,1,0,0,0,0,0,0,0,0,0,0
15.5,68.8,890,934,0,1,0,0,0,0,0,0,0,0,0,0
16.7,68.8,702,781,0,2,0,0,0,0,0,0,0,0,0,0
13.5,68.7,724,735,0,1,1,0,0,0,0,0,0,0,0,0
15.9,68.7,1190,996,0,0,0,0,0,0,0,0,0,0,0,0
14.9,68.8,1146,1092,0,1,0,0,0,0,0,0,0,0,0,0
