TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704589096626294400,31.8,54.2,-450,907,0,0,0,0,0,0,0,0,0,0,0,0
1704589097638222500,19.4,54.2,-461,1416,0,0,0,0,0,0,0,0,0,0,0,0
1704589098661169600,27.6,54.6,1038,1082,0,0,0,0,0,0,0,0,0,0,0,0
1704589099683602800,24.0,54.9,972,1354,1,0,0,0,0,0,0,0,0,0,0,0
1704589100704530900,15.1,54.6,2200,373,0,1,0,0,0,0,0,0,0,0,0,0
1704589101727460300,15.1,54.5,1877,487,0,0,0,0,0,0,0,0,0,0,0,0
1704589102746905900,19.6,54.5,1285,649,0,0,0,0,0,0,0,0,0,0,0,0
1704589104279299500,16.4,54.5,1220,714,0,0,0,0,0,0,0,0,0,0,0,0
1704589104795272200,11.2,54.3,2508,626,0,2,0,0,0,0,0,0,0,0,0,0
1704589105810195500,12.7,54.4,1586,771,0,1,0,0,0,0,0,0,0,0,0,0
1704589107334603700,12.6,54.2,1574,870,0,0,0,0,0,0,0,0,0,0,0,0
1704589107847069300,13.0,54.2,1520,992,0,1,0,0,0,0,0,0,0,0,0,0
1704589108866996500,29.1,54.2,1788,857,0,1,0,0,0,0,0,0,0,0,0,0
1704589109892929100,14.3,54.1,1391,960,0,1,0,0,0,0,0,0,0,0,0,0
1704589110913857300,11.6,54.1,1369,945,0,0,0,0,0,0,0,0,0,0,0,0
1704589111936786900,9.9,54.1,1335,1007,0,1,0,0,0,0,0,0,0,0,0,0
1704589112961718900,17.5,54.1,1201,517,0,0,0,0,0,0,0,0,0,0,0,0
1704589113982647800,13.5,54.1,1167,0,0,0,0,0,0,0,0,0,0,0,0,0
1704589115005078900,11.3,54.1,1061,987,0,0,0,0,0,0,0,0,0,0,0,0
1704589116029010100,13.7,54.1,1158,304,0,0,0,0,0,0,0,0,0,0,0,0
1704589117559415600,11.3,54.1,870,805,0,0,0,0,0,0,0,0,0,0,0,0
1704589118581351000,11.7,54.1,890,725,0,0,0,0,0,0,0,0,0,0,0,0
1704589119606282700,9.8,54.1,907,834,0,0,0,0,0,0,0,0,0,0,0,0
1704589120120750100,11.1,54.1,907,832,0,0,0,0,0,0,0,0,0,0,0,0
1704589121143680000,13.1,54.1,894,850,0,0,0,0,0,0,0,0,0,0,0,0
1704589122164608200,13.9,54.1,824,917,0,1,0,0,0,0,0,0,0,0,0,0
1704589123189540300,13.6,54.1,1074,815,0,1,0,1,0,0,0,0,0,0,0,0
1704589124210468000,13.9,54.1,673,1129,0,2,0,0,0,0,0,0,0,0,0,0
1704589125743365800,12.8,54.2,404,77,0,2,0,0,0,0,0,0,0,0,0,0
1704589126257833300,17.0,54.2,1104,312,0,2,0,0,0,0,0,0,0,0,0,0
1704589127282765000,13.1,54.2,1037,938,0,2,0,0,0,0,0,0,0,0,0,0
