TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704414454966490400,13.8,60.5,-380,-174,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414455984468500,12.2,60.6,-160,454,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414457513417800,22.8,60.6,1113,585,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414458024421300,14.6,60.6,1169,558,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414459548807600,14.5,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414460062785800,28.1,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414461580241500,14.6,60.3,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414462601201400,20.8,60.3,1222,490,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414463116677500,17.9,60.2,1223,515,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414464139607400,16.6,60.1,1224,495,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414465666526600,20.0,60.2,1317,449,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414466178526600,17.1,60.1,1309,450,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414467201457400,15.4,60.1,1308,451,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414468728899200,15.2,60.1,1101,507,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414469241396200,25.3,60.1,1242,735,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414470254370200,17.4,60.1,1576,882,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414471269300400,15.1,60.1,1581,871,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414472284222800,14.6,60.1,1467,525,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414473314159100,14.3,60.1,1457,616,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414474848096100,19.9,60.1,1565,795,0,3,1,0,0,0,0,0,0,0,0,0,0
1704414475364565500,13.6,60.1,1231,790,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414476387539000,18.3,60.1,1066,638,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414477404049600,12.7,60.1,1696,627,0,0,0,0,0,0,1,0,0,0,0,0,0
1704414478421522600,23.1,60.1,1329,722,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414479441462600,15.8,60.1,1549,628,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414480459891400,16.6,60.1,1677,791,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414481481378800,15.6,60.1,1559,637,0,0,0,0,0,0,1,0,0,0,0,0,0
1704414482494863300,16.2,60.1,1352,666,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414483519298900,15.5,60.1,1776,849,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414484541732000,18.4,60.1,1671,774,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414486060692400,17.2,60.1,1352,827,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414486575160200,19.7,60.1,1212,730,0,0,1,0,0,0,0,0,0,0,0,0,0
1704414488102563100,13.3,60.0,1457,410,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414488615587300,15.5,60.0,1478,413,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414489633520900,14.4,60.1,1245,627,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414490647953100,13.8,60.0,1506,313,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414491663432400,15.1,60.1,1661,327,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414492678409600,14.7,60.0,1567,697,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414493692856100,15.3,60.0,1897,531,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414495211244300,13.6,60.0,1810,451,0,2,0,0,0,0,1,0,0,0,0,0,0
1704414495719719600,12.8,60.0,1780,440,0,0,0,0,0,0,0,0,0,0,0,0,0
1704414496733679800,23.8,60.0,1902,428,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414497756111800,17.1,60.0,198,1311,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414499286524500,15.4,60.0,1848,20,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414499802496400,14.8,60.0,1487,395,0,2,0,0,0,0,0,0,0,0,0,0,0
1704414500816446600,14.0,60.0,1428,356,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414501833893200,21.4,60.0,1497,380,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414502856326400,13.2,60.0,1582,580,0,1,0,0,0,0,0,0,0,0,0,0,0
1704414503876291900,15.9,60.0,1508,514,0,0,0,0,0,0,1,0,0,0,0,0,0
1704414504895778700,14.1,60.0,1666,458,0,2,0,0,0,0,0,0,0,0,0,0,0
