CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
15.6,68.6,-478,1416,0,0,0,0,0,0,0,0,0,0,0,0
22.9,68.6,-635,1406,0,0,0,0,0,0,0,0,0,0,0,0
27.5,68.9,-750,1409,0,0,0,0,0,0,0,0,0,0,0,0
30.1,69.0,-384,1057,0,0,0,0,0,0,0,0,0,0,0,0
17.5,68.7,1213,769,0,0,0,0,0,0,0,0,0,0,0,0
10.4,68.6,1055,576,0,2,0,0,0,0,0,0,0,0,0,0
16.6,68.6,1158,915,0,2,0,0,0,0,0,0,0,0,0,0
14.8,68.5,1021,826,0,2,0,0,0,0,0,0,0,0,0,0
16.0,68.5,1089,780,0,1,0,0,0,0,0,0,0,0,0,0
27.5,68.7,874,797,0,2,0,0,0,0,0,0,0,0,0,0
14.8,68.6,777,779,0,1,0,0,0,0,0,0,0,0,0,0
12.8,68.6,1222,792,0,1,0,0,0,0,0,0,0,0,0,0
15.0,68.6,1553,707,0,1,0,0,0,0,0,0,0,0,0,0
12.0,68.5,586,746,0,2,0,0,0,0,0,0,0,0,0,0
16.8,68.6,922,568,0,2,0,0,0,0,0,0,0,0,0,0
12.1,68.6,1545,777,0,0,0,0,0,0,0,0,0,0,0,0
13.5,68.6,1103,817,0,1,0,0,0,0,0,0,0,0,0,0
11.6,68.5,1528,754,0,0,0,0,0,0,0,0,0,0,0,0
15.8,68.6,1405,724,0,0,0,0,0,0,0,0,0,0,0,0
17.7,68.5,937,637,0,1,0,0,0,0,0,0,0,0,0,0
12.8,68.4,1546,784,0,2,0,0,0,0,1,0,0,0,0,0
11.4,68.4,363,574,0,2,0,0,0,0,0,0,0,0,0,0
19.0,68.5,147,296,0,2,0,0,0,0,0,0,0,0,0,0
50.0,68.8,163,150,0,2,0,0,0,0,0,0,0,0,0,0
13.9,68.8,243,4,0,2,0,0,0,0,0,0,0,0,0,0
13.5,68.8,539,455,0,2,0,0,0,0,0,0,0,0,0,0
12.9,68.7,0,424,0,2,0,0,0,0,0,0,0,0,0,0
21.6,68.8,861,188,0,2,0,0,0,0,0,0,0,0,0,0
17.0,68.8,931,9,1,1,0,0,0,0,0,0,0,0,0,0
16.0,68.7,989,195,0,2,0,0,0,0,0,0,0,0,0,0
12.3,68.7,1024,1290,0,0,0,0,0,0,0,0,0,0,0,0
16.4,68.6,1230,663,0,1,0,0,0,0,0,0,0,0,0,0
19.9,68.6,1662,423,0,2,0,0,0,0,0,0,0,0,0,0
14.4,68.6,996,435,0,1,0,0,0,0,0,0,0,0,0,0
11.2,68.6,1254,492,0,1,0,0,0,0,0,0,0,0,0,0
16.0,68.6,1278,456,0,0,0,0,0,0,0,0,0,0,0,0
15.2,68.6,1264,524,0,1,0,0,0,0,1,0,0,0,0,0
15.4,68.5,1082,560,0,0,0,0,0,0,0,0,0,0,0,0
