TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704564883758153600,30.4,62.9,94,658,0,0,0,0,0,0,0,0,0,0,0,0
1704564884777102000,25.7,62.3,1491,570,0,0,0,0,0,0,0,0,0,0,0,0
1704564885794048900,14.5,61.9,1482,698,0,1,0,0,0,0,0,0,0,0,0,0
1704564886803997600,10.9,61.7,1482,698,0,0,0,0,0,0,0,0,0,0,0,0
1704564887823428000,9.9,61.7,1482,698,0,0,0,0,0,0,0,0,0,0,0,0
1704564889349336900,12.3,61.7,1859,615,0,0,0,0,0,0,0,0,0,0,0,0
1704564889865308800,12.1,61.6,1817,510,0,0,0,0,0,0,0,0,0,0,0,0
1704564890883240400,13.4,61.5,2005,575,0,0,0,0,0,0,0,0,0,0,0,0
1704564891903192900,14.2,61.5,2131,567,0,2,0,0,0,0,0,0,0,0,0,0
1704564892924140600,12.1,61.5,2127,612,0,1,0,0,0,0,0,0,0,0,0,0
1704564894451043700,15.0,61.4,2088,643,0,1,0,0,0,0,0,0,0,0,0,0
1704564894964012500,20.1,61.3,2073,648,0,2,0,0,0,0,0,0,0,0,0,0
1704564896492414700,20.1,61.4,2028,622,0,1,0,0,0,0,0,0,0,0,0,0
1704564897008386200,18.7,61.4,2028,612,0,1,0,0,0,0,0,0,0,0,0,0
1704564898530314300,18.3,61.3,2015,593,0,1,0,0,0,0,0,0,0,0,0,0
1704564899045283600,17.6,61.3,2011,594,0,2,0,0,0,0,0,0,0,0,0,0
1704564900065227800,10.8,61.3,2011,585,0,1,0,0,0,0,0,0,0,0,0,0
1704564901591136200,13.6,61.4,2001,565,0,1,0,0,0,0,0,0,0,0,0,0
1704564902105106100,10.9,61.3,2179,738,0,1,0,0,0,0,0,0,0,0,0,0
1704564903119034200,11.1,61.3,2176,616,0,0,0,0,0,0,0,0,0,0,0,0
1704564904131992200,10.9,61.3,2169,620,0,0,0,0,0,0,0,0,0,0,0,0
1704564905153423600,13.4,61.3,2139,664,0,1,0,0,0,0,0,0,0,0,0,0
1704564906682322200,15.7,61.3,2006,680,0,1,0,0,0,0,0,0,0,0,0,0
1704564907196298200,10.1,61.3,2044,671,0,0,0,0,0,0,0,0,0,0,0,0
1704564908216231300,12.1,61.3,2116,700,0,0,0,0,0,0,0,0,0,0,0,0
1704564909238174700,11.1,61.3,2121,707,0,0,0,0,0,0,0,0,0,0,0,0
1704564910255139200,15.3,61.3,2139,628,0,0,0,0,0,0,0,0,0,0,0,0
1704564911276072900,10.2,61.3,2054,616,0,1,0,0,0,0,0,0,0,0,0,0
1704564912300010100,11.3,61.3,2046,504,0,1,0,0,0,0,0,0,0,0,0,0
1704564913314447800,14.1,61.3,1983,644,0,0,0,0,0,0,0,0,0,0,0,0
1704564914832343400,16.4,61.3,2155,654,0,0,0,0,0,0,0,0,0,0,0,0
1704564915348321300,17.1,61.3,2113,652,0,0,0,0,0,0,0,0,0,0,0,0
1704564916864240400,10.4,61.3,2058,630,0,0,0,0,0,0,0,0,0,0,0,0
1704564917377210000,10.1,61.3,2086,534,1,0,0,0,0,0,0,0,0,0,0,0
1704564918396142600,11.1,61.3,2109,493,1,0,0,0,0,0,0,0,0,0,0,0
1704564919414080600,12.1,61.3,1937,467,0,0,0,0,0,0,0,0,0,0,0,0
1704564920938976200,15.8,61.3,1464,526,0,1,0,0,0,0,0,0,0,0,0,0
1704564921455445200,12.1,61.3,1518,428,0,0,0,0,0,0,0,0,0,0,0,0
1704564922476415900,10.8,61.3,1444,375,0,0,0,0,0,0,0,0,0,0,0,0
1704564924002312000,11.1,61.3,1172,528,0,1,0,0,0,0,0,0,0,0,0,0
1704564924516282300,14.9,61.3,1037,475,0,0,0,0,0,0,0,0,0,0,0,0
1704564925537236100,20.9,61.1,1434,631,0,1,1,0,0,0,0,0,0,0,0,0
1704564926565176700,12.1,61.1,1115,835,0,1,14,0,0,0,0,0,0,0,0,0
1704564927576113500,10.9,61.1,1142,578,0,1,1,0,0,0,0,0,0,0,0,0
1704564929096036500,16.4,61.2,1143,616,0,0,1,0,0,0,0,0,0,0,0,0
1704564930111966000,11.2,61.2,1143,622,0,0,0,0,0,0,0,0,0,0,0,0
1704564930623431000,16.6,61.2,1209,595,0,0,0,0,0,0,0,0,0,0,0,0
1704564932140331600,10.9,61.2,1128,597,0,0,0,0,0,0,0,0,0,0,0,0
1704564932652300400,11.7,61.1,1141,480,0,0,0,0,0,0,0,0,0,0,0,0
1704564933662244200,13.5,61.2,1088,590,0,0,0,0,0,0,0,0,0,0,0,0
1704564935183149300,12.8,61.1,1156,762,0,0,0,0,0,0,0,0,0,0,0,0
1704564936205090500,11.2,61.1,1243,840,0,1,0,0,0,0,0,0,0,0,0,0
1704564937225042200,13.0,61.2,1235,838,0,0,9,0,0,0,0,0,0,0,0,0
1704564938240971800,14.0,61.3,1221,819,0,0,0,0,0,0,0,0,0,0,0,0
1704564938747431800,13.4,61.3,1263,822,0,0,0,0,0,0,0,0,0,0,0,0
1704564939760887500,10.9,61.2,1431,703,0,0,1,0,0,0,0,0,0,0,0,0
1704564941279286400,10.6,61.1,1373,735,0,1,3,0,0,0,0,0,0,0,0,0
1704564942294215000,12.7,61.1,1387,702,0,1,0,0,0,0,0,0,0,0,0,0
1704564943311157900,14.8,61.1,1361,672,0,1,0,0,0,0,0,0,0,0,0,0
1704564943823126400,11.7,61.1,1030,610,0,1,0,0,0,0,0,0,0,0,0,0
1704564944845068100,13.5,61.1,936,803,0,1,0,0,0,0,0,0,0,0,0,0
1704564946370972100,14.8,61.1,1348,570,0,2,0,0,0,0,0,0,0,0,0,0
1704564946887441200,18.4,61.1,1376,565,0,0,0,0,0,0,0,0,0,0,0,0
1704564947901381100,11.2,61.1,1344,644,0,1,0,0,0,0,0,0,0,0,0,0
1704564948916317200,10.9,61.1,1405,614,0,2,0,0,0,0,0,0,0,0,0,0
1704564949930244800,14.8,61.1,1233,676,0,1,13,0,0,0,0,0,0,0,0,0
1704564950943208500,14.2,61.1,1117,575,0,1,0,0,0,0,0,0,0,0,0,0
1704564951956160400,15.8,60.4,1212,525,0,0,0,0,0,0,0,0,0,0,0,0
1704564952971090100,13.3,60.4,1449,482,0,0,0,0,0,0,0,0,0,0,0,0
1704564953985018600,12.1,60.4,1698,434,0,0,0,0,0,0,0,0,0,0,0,0
1704564954999462700,14.6,60.4,1478,406,0,1,15,0,0,0,0,0,0,0,0,0
1704564956027403200,11.0,60.4,1589,419,0,0,13,0,0,0,0,0,0,0,0,0
1704564957042369200,12.8,60.4,1462,475,0,0,1,0,0,0,0,0,0,0,0,0
1704564958057304100,14.0,60.4,1433,479,0,0,16,0,0,0,0,0,0,0,0,0
1704564959071231300,10.9,60.4,1447,473,0,0,0,0,0,0,0,0,0,0,0,0
1704564960083172200,14.8,60.4,1447,473,0,0,0,0,0,0,0,0,0,0,0,0
1704564961101103300,10.9,60.4,877,831,0,0,0,0,0,0,0,0,0,0,0,0
1704564962118033500,13.0,60.4,1357,643,0,0,0,0,0,0,0,0,0,0,0,0
1704564963127991100,11.2,60.4,1251,610,0,0,0,0,0,0,0,0,0,0,0,0
1704564964146419400,9.9,60.4,1349,680,0,1,0,0,0,0,0,0,0,0,0,0
1704564965167354700,11.4,60.4,1241,634,0,0,1,0,0,0,0,0,0,0,0,0
1704564966187294800,14.9,60.5,1223,484,0,1,6,0,0,0,0,0,0,0,0,0
1704564967200221500,14.4,60.5,1257,520,0,0,0,0,0,0,0,0,0,0,0,0
1704564968719124400,10.9,60.5,1244,657,0,0,0,0,0,0,0,0,0,0,0,0
1704564969228111900,12.7,60.5,1184,672,0,0,0,0,0,0,0,0,0,0,0,0
1704564970243047400,13.2,60.5,915,582,0,0,4,0,0,0,0,0,0,0,0,0
1704564971257975900,12.4,60.5,1323,290,1,2,0,0,0,0,0,0,0,0,0,0
1704564972273414500,14.0,60.5,1566,248,0,3,0,0,0,0,0,0,0,0,0,0
1704564973294348600,11.6,60.5,1504,389,0,0,0,0,0,0,0,0,0,0,0,0
1704564974316284200,10.1,60.5,1414,561,0,0,0,0,0,0,0,0,0,0,0,0
1704564975335249300,12.6,60.5,1414,561,0,0,0,0,0,0,0,0,0,0,0,0
1704564976349177900,11.4,60.5,1414,561,0,0,0,0,0,0,0,0,0,0,0,0
1704564977868086800,11.8,60.5,1414,561,0,0,0,0,0,0,0,0,0,0,0,0
1704564978382057000,13.4,60.5,1660,668,0,0,0,0,0,0,0,0,0,0,0,0
1704564979400990700,11.2,60.5,1517,680,0,0,0,0,0,0,0,0,0,0,0,0
1704564980919412100,13.8,60.5,1907,248,0,0,0,0,0,0,0,0,0,0,0,0
1704564981426375800,9.6,60.5,1925,237,1,0,0,0,0,0,0,0,0,0,0,0
1704564982447309400,10.9,60.5,1766,470,0,0,0,0,0,0,0,0,0,0,0,0
1704564983471252700,16.1,60.5,1766,470,0,0,0,0,0,0,0,0,0,0,0,0
1704564984493187700,16.6,60.5,1881,505,0,0,0,0,0,0,0,0,0,0,0,0
1704564986020092200,12.2,60.5,1909,599,0,0,0,0,0,0,0,0,0,0,0,0
1704564986534095600,13.1,60.5,1806,632,0,0,0,0,0,0,0,0,0,0,0,0
1704564987556036900,10.8,60.5,1985,445,0,1,0,0,0,0,0,0,0,0,0,0
1704564988574969400,13.0,60.4,2244,502,0,1,0,0,0,0,0,0,0,0,0,0
1704564990117391800,18.4,60.5,1995,722,0,1,0,0,0,0,0,0,0,0,0,0
1704564990632362100,12.3,60.5,2004,733,0,0,0,0,0,0,0,0,0,0,0,0
1704564991654297600,9.6,60.5,1973,611,0,1,0,0,0,0,0,0,0,0,0,0
1704564992682271200,9.9,60.5,1988,572,0,1,0,0,0,0,0,0,0,0,0,0
1704564993704206500,16.3,60.5,1981,588,0,0,0,0,0,0,0,0,0,0,0,0
1704564995226106000,11.4,60.5,1988,607,0,1,0,0,0,0,0,0,0,0,0,0
1704564995738074200,17.5,60.5,1988,607,0,1,0,0,0,0,0,0,0,0,0,0
1704564996762011100,18.1,60.5,2004,666,0,1,0,0,0,0,0,0,0,0,0,0
1704564997780439900,10.9,60.5,1705,73,0,1,0,0,0,0,0,0,0,0,0,0
1704564998800405300,16.0,60.5,1392,366,0,0,0,0,0,0,0,0,0,0,0,0
1704565000326301200,11.1,60.5,1983,913,0,1,0,0,0,0,0,0,0,0,0,0
1704565000841279400,11.5,60.5,2089,887,0,2,0,0,0,0,0,0,0,0,0,0
1704565002368189000,14.6,60.4,2030,891,0,0,0,0,0,0,0,0,0,0,0,0
1704565003390124600,14.0,60.5,1971,642,0,0,0,0,0,0,0,0,0,0,0,0
1704565003904107800,12.2,60.5,1703,657,0,0,0,0,0,0,0,0,0,0,0,0
1704565004923060200,13.5,60.5,1714,559,0,1,0,0,0,0,0,0,0,0,0,0
1704565005938025200,16.8,60.5,1679,636,0,0,0,0,0,0,0,0,0,0,0,0
1704565006965965500,10.1,60.5,1719,680,0,1,0,0,0,0,0,0,0,0,0,0
1704565007982405300,15.2,60.5,1718,680,0,0,0,0,0,0,0,0,0,0,0,0
1704565008996332400,14.3,60.5,1868,729,0,0,0,0,0,0,0,0,0,0,0,0
1704565010514260800,10.4,60.5,1936,730,0,0,0,0,0,0,0,0,0,0,0,0
1704565011027229600,11.4,60.5,1936,730,0,1,0,0,0,0,0,0,0,0,0,0
1704565012554126600,10.4,60.5,1838,661,0,0,0,0,0,0,0,0,0,0,0,0
1704565013572064300,11.6,60.5,1567,633,0,0,0,0,0,0,0,0,0,0,0,0
1704565014600005300,11.1,60.5,1599,606,0,2,0,0,0,0,0,0,0,0,0,0
1704565015114986200,12.6,60.5,1599,606,0,0,0,0,0,0,0,0,0,0,0,0
1704565016123439700,10.8,60.5,1599,606,0,0,0,0,0,0,0,0,0,0,0,0
1704565017654340500,11.3,60.5,1599,606,0,1,0,0,0,0,0,0,0,0,0,0
1704565018169311100,15.5,60.5,1619,768,0,0,0,0,0,0,0,0,0,0,0,0
1704565019183251900,12.7,60.4,1148,660,0,1,0,0,0,0,0,0,0,0,0,0
1704565020199181800,14.8,60.5,1387,619,0,0,0,0,0,0,0,0,0,0,0,0
1704565021216117900,11.7,60.5,1413,615,0,0,1,0,0,0,0,0,0,0,0,0
1704565022733044400,10.6,60.5,1282,619,0,0,0,0,0,0,0,0,0,0,0,0
1704565023249016300,13.2,60.5,1273,700,0,0,0,0,0,0,0,0,0,0,0,0
1704565024269956400,15.3,60.5,1399,706,0,1,0,0,0,0,0,0,0,0,0,0
1704565025290400800,14.8,60.5,1063,637,0,0,1,0,0,0,0,0,0,0,0,0
1704565026817298400,13.4,60.4,1144,546,0,1,16,0,0,0,0,0,0,0,0,0
1704565027329266200,11.1,60.4,1159,560,0,0,3,0,0,0,0,0,0,0,0,0
1704565028845193100,13.0,60.4,1205,579,0,0,0,0,0,0,0,0,0,0,0,0
1704565029357161600,11.4,60.4,1237,639,0,0,0,0,0,0,0,0,0,0,0,0
1704565030373093100,16.0,60.4,1086,606,0,1,0,0,0,0,0,0,0,0,0,0
1704565031398058300,11.4,60.4,1191,723,0,1,0,2,0,0,0,0,0,0,0,0
1704565032411986000,11.7,60.4,1664,704,0,0,0,16,0,0,0,0,0,0,0,0
1704565033426421900,11.7,60.4,1636,702,0,0,0,15,0,0,0,0,0,0,0,0
1704565034440393200,14.5,60.4,1564,561,0,0,0,13,0,0,0,0,0,0,0,0
1704565035455321400,11.9,60.4,1492,556,0,0,0,0,0,0,0,0,0,0,0,0
1704565036474260900,12.3,60.4,1460,535,0,0,0,2,0,0,0,0,0,0,0,0
1704565037493206600,11.1,60.4,1383,501,0,0,0,0,0,0,0,0,0,0,0,0
1704565039024107000,13.6,60.4,855,706,0,0,16,0,0,0,0,0,0,0,0,0
1704565039538083500,10.8,60.4,855,706,0,0,5,0,0,0,0,0,0,0,0,0
1704565040566054500,12.1,60.4,1383,844,0,0,15,0,0,0,0,0,0,0,0,0
1704565041586995700,11.6,60.4,1310,687,0,0,5,0,0,0,0,0,0,0,0,0
1704565042609428400,12.8,60.4,1326,702,0,0,0,0,0,0,0,0,0,0,0,0
1704565043627372000,11.8,60.4,1470,705,0,0,0,0,0,0,0,0,0,0,0,0
1704565045152267000,12.0,60.4,1056,585,0,0,0,0,0,0,0,0,0,0,0,0
1704565046174238900,14.8,60.4,1471,545,0,1,0,0,0,0,0,0,0,0,0,0
1704565046687207900,12.0,60.4,1470,568,0,0,0,0,0,0,0,0,0,0,0,0
1704565048217108800,14.5,60.4,958,973,0,0,0,0,0,0,0,0,0,0,0,0
1704565049236054200,12.2,60.4,1006,888,0,1,2,0,0,0,0,0,0,0,0,0
1704565049751025300,14.4,60.4,1087,836,0,0,0,0,0,0,0,0,0,0,0,0
1704565050773961700,22.3,60.4,1320,601,0,0,0,0,0,0,0,0,0,0,0,0
1704565051795427600,11.4,60.4,1160,612,0,0,0,0,0,0,0,0,0,0,0,0
1704565053318335200,10.9,60.4,1847,771,0,3,0,0,0,0,0,0,0,0,0,0
1704565053834306900,14.2,60.4,1650,880,0,3,0,0,0,0,0,0,0,0,0,0
1704565054853252700,13.4,60.4,1658,849,0,2,0,0,0,0,0,0,0,0,0,0
1704565055875187600,18.0,60.4,1434,940,0,1,0,0,0,0,0,0,0,0,0,0
1704565056895121300,13.6,60.4,1382,939,0,1,0,0,0,0,0,0,0,0,0,0
1704565057910083400,12.6,60.4,686,1038,0,2,0,0,0,0,0,0,0,0,0,0
1704565058925011600,13.8,60.4,889,1085,0,2,0,0,0,0,0,0,0,0,0,0
1704565059940438700,12.6,60.4,1087,992,0,3,0,0,0,0,0,0,0,0,0,0
1704565060954372200,13.6,60.4,1127,1003,0,1,0,0,0,0,0,0,0,0,0,0
1704565061973305600,15.8,60.4,1106,580,0,2,10,0,0,0,0,0,0,0,0,0
1704565062998242500,12.4,60.4,856,505,0,1,0,0,0,0,0,0,0,0,0,0
1704565064017210400,12.3,60.4,1236,599,0,0,0,0,0,0,0,0,0,0,0,0
1704565065036143200,20.1,60.4,961,605,0,0,0,0,0,0,0,0,0,0,0,0
1704565066059078400,13.2,60.4,1173,493,0,1,0,0,0,0,0,0,0,0,0,0
1704565067080026500,15.9,60.4,1258,440,0,1,0,0,0,0,0,0,0,0,0,0
1704565068103969100,12.2,60.4,1003,530,0,1,0,0,0,0,0,0,0,0,0,0
1704565069124400200,10.8,60.4,1183,548,0,0,1,0,0,0,0,0,0,0,0,0
1704565070150370200,11.9,60.4,1265,475,0,0,15,0,0,0,0,0,0,0,0,0
1704565071171324100,12.5,60.4,1259,484,0,0,0,0,0,0,0,0,0,0,0,0
1704565072185252600,15.8,60.4,1556,331,0,0,0,0,0,0,0,0,0,0,0,0
1704565073199202000,15.5,60.4,1493,278,0,0,0,0,0,0,0,0,0,0,0,0
1704565074216133500,10.4,60.4,1383,371,0,0,0,0,0,0,0,0,0,0,0,0
1704565075743070900,12.1,60.4,1365,494,0,0,0,0,0,0,0,0,0,0,0,0
