TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412128788023100,13.6,65.7,"(-269, -211)",0,0,0,0,0,0,0,0,0,0,0,0
1704412129806452500,21.4,65.7,"(-306, -203)",0,0,0,0,0,0,0,0,0,0,0,0
1704412130825378400,22.9,66.4,"(-1048, -124)",0,0,0,0,0,0,0,0,0,0,0,0
1704412131850309800,29.0,65.9,"(-443, 99)",0,0,0,0,0,0,0,0,0,0,0,0
1704412132868754300,19.7,65.8,"(-520, 1340)",1,0,0,0,0,0,0,0,0,0,0,0
1704412133891683900,12.8,65.7,"(-388, 1329)",0,0,0,0,0,0,0,0,0,0,0,0
1704412134914614200,29.0,65.7,"(-336, 986)",0,0,0,0,0,0,0,0,0,0,0,0
1704412135936550300,23.6,65.8,"(777, 1345)",0,0,0,0,0,0,0,0,0,0,0,0
1704412137469944800,15.8,65.5,"(1298, 474)",1,0,0,0,0,0,0,0,0,0,0,0
1704412137983411400,11.2,65.5,"(1523, 430)",0,1,0,0,0,0,0,0,0,0,0,0
1704412139004843000,11.6,65.5,"(1547, 508)",0,0,0,0,0,0,0,0,0,0,0,0
1704412140026772000,13.2,65.4,"(1497, 351)",0,3,0,0,0,0,0,0,0,0,0,0
1704412141558669100,16.6,65.5,"(1150, 136)",0,1,0,0,0,0,0,0,0,0,0,0
1704412142073136200,14.5,65.5,"(474, 533)",0,1,0,0,0,0,0,0,0,0,0,0
1704412143097571300,22.3,65.4,"(1580, 1107)",0,2,0,0,0,0,0,0,0,0,0,0
1704412144116497500,11.1,65.3,"(1679, 320)",0,2,0,0,0,0,0,0,0,0,0,0
1704412145137425600,13.0,65.3,"(1775, 269)",0,1,0,0,0,0,0,0,0,0,0,0
1704412146159354300,16.7,65.3,"(1787, 266)",0,1,0,0,0,0,0,0,0,0,0,0
1704412147688751700,13.4,65.3,"(1747, 726)",0,2,0,0,0,0,0,0,0,0,0,0
1704412148205221000,16.0,65.3,"(1544, 850)",0,2,0,0,0,0,0,0,0,0,0,0
1704412149734611400,12.0,65.4,"(1560, 684)",0,2,0,0,0,0,0,0,0,0,0,0
1704412150759543300,16.5,65.3,"(1603, 300)",0,2,0,0,0,0,0,0,0,0,0,0
1704412151275019500,13.5,65.3,"(1696, 236)",0,2,0,0,0,0,0,0,0,0,0,0
1704412152801911600,13.0,65.3,"(1351, 228)",0,3,0,0,0,0,0,0,0,0,0,0
1704412153316379400,11.1,65.2,"(1670, 515)",0,0,0,1,0,0,0,0,0,0,0,0
1704412154848780500,11.7,65.3,"(1490, 434)",0,2,0,0,0,0,1,0,0,0,0,0
1704412155873225400,13.3,65.3,"(1410, 659)",0,1,0,0,0,0,0,0,0,0,0,0
1704412156902664900,13.7,65.3,"(1162, 865)",0,0,0,0,0,0,1,0,0,0,0,0
1704412157418133200,18.4,65.3,"(1336, 773)",0,0,0,0,0,0,0,0,0,0,0,0
1704412158440567300,11.1,65.3,"(1625, 500)",0,0,0,0,0,0,0,0,0,0,0,0
1704412159969972200,12.6,65.2,"(1642, 375)",0,1,0,0,0,0,0,0,0,0,0,0
1704412160487442200,39.3,65.4,"(1481, 526)",0,2,0,0,0,0,0,0,0,0,0,0
1704412161509371100,14.3,65.4,"(1400, 209)",0,1,0,0,0,0,0,0,0,0,0,0
1704412162530299600,16.1,65.4,"(1716, 351)",0,1,0,0,0,0,1,0,0,0,0,0
1704412163554237200,16.1,65.3,"(1900, 329)",0,2,0,0,0,0,0,0,0,0,0,0
1704412164579168700,13.8,65.4,"(0, 940)",0,1,0,0,0,0,0,0,0,0,0,0
1704412165603604000,15.8,65.3,"(1569, 793)",0,2,0,0,0,0,0,0,0,0,0,0
