TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704233583181678300,0.0,61.4,"(-261, -40)",0,0,0,0,0,0,0,0,0,0,0,0
1704233583693143100,0.0,62.1,"(760, 712)",0,0,0,0,0,0,0,0,0,0,0,0
1704233584195600000,0.0,62.1,"(945, 1414)",1,0,0,0,0,0,0,0,0,1,0,0
1704233584709569700,0.0,61.9,"(1284, 643)",0,0,0,0,0,0,0,0,0,0,0,0
1704233585217535000,0.0,61.9,"(748, 612)",0,2,0,0,0,0,0,0,0,0,0,0
1704233585730000800,0.0,61.9,"(840, 614)",0,2,0,0,0,0,0,0,0,0,0,0
1704233586244468400,0.0,61.8,"(686, 706)",0,2,0,0,0,0,0,0,0,0,0,0
1704233586751432500,0.0,61.8,"(843, 602)",0,2,0,0,0,0,0,0,0,0,0,0
1704233587256892000,0.0,61.8,"(665, 597)",0,3,0,0,0,0,0,0,0,0,0,0
1704233587771864200,0.0,61.8,"(1118, 757)",0,2,0,0,0,0,0,0,0,0,0,0
1704233588278324500,0.0,61.8,"(1148, 737)",0,1,0,0,0,0,0,0,0,0,0,0
1704233588792792200,0.0,61.8,"(886, 82)",0,1,0,0,0,0,0,0,0,0,0,0
1704233589305258000,0.0,61.7,"(826, 706)",0,2,0,0,0,0,0,0,0,0,0,0
1704233589817723700,0.0,61.8,"(740, 319)",0,2,0,0,0,0,0,0,0,0,0,0
1704233590328188200,0.0,61.7,"(681, 653)",0,0,0,0,0,0,0,0,0,0,0,0
1704233590841654800,0.0,61.6,"(662, 595)",0,1,0,0,0,0,0,0,0,0,0,0
1704233591347114400,0.0,61.6,"(660, 506)",0,1,0,0,0,0,0,0,0,0,0,0
1704233591859580200,0.0,61.5,"(690, 675)",0,2,0,0,0,0,0,0,0,0,0,0
1704233592376050900,0.0,61.5,"(688, 521)",0,2,0,0,0,0,0,0,0,0,0,0
1704233592886513300,0.0,61.5,"(843, 397)",0,3,0,0,0,0,0,0,0,0,0,0
1704233593392477800,0.0,61.5,"(894, 371)",0,2,0,0,0,0,0,0,0,0,0,0
1704233593904943600,0.0,61.5,"(1004, 350)",0,1,0,0,0,0,0,0,0,0,0,0
1704233594417409300,0.0,61.5,"(1076, 340)",0,1,0,0,0,0,0,0,0,0,0,0
1704233594933879200,0.0,61.5,"(1365, 551)",0,1,0,0,0,0,0,0,0,0,0,0
1704233595444343100,0.0,61.5,"(1258, 520)",0,1,0,0,0,0,0,0,0,0,0,0
1704233595954806700,0.0,61.5,"(1113, 628)",0,2,0,0,0,0,0,0,0,0,0,0
1704233596460275300,0.0,61.5,"(1090, 672)",0,2,0,0,0,0,0,0,0,0,0,0
1704233596976744700,0.0,61.5,"(1115, 649)",0,2,0,0,0,0,0,0,0,0,0,0
1704233597484710600,0.0,61.5,"(1138, 622)",0,1,0,0,0,0,0,0,0,0,0,0
1704233597997176600,0.0,61.5,"(1212, 597)",0,2,0,0,0,0,0,0,0,0,0,0
1704233598509145700,0.0,61.6,"(1231, 525)",0,2,0,0,0,0,0,0,0,0,0,0
1704233599019609900,0.0,61.6,"(1090, 655)",0,1,0,0,0,0,0,0,0,0,0,0
1704233599536079100,0.0,61.6,"(1042, 668)",0,2,0,0,0,0,0,0,0,0,0,0
1704233600048545100,0.0,61.6,"(959, 702)",0,3,0,0,0,0,0,0,0,0,0,0
1704233600553011300,0.0,61.6,"(882, 704)",0,2,0,0,0,0,0,0,0,0,0,0
1704233601076487800,0.0,61.5,"(832, 696)",0,2,0,0,0,0,0,0,0,0,0,0
1704233601586952000,0.0,61.5,"(818, 694)",0,2,0,0,0,0,0,0,0,0,0,0
1704233602089408300,0.0,61.5,"(1353, 562)",0,1,0,0,0,0,0,0,0,0,0,0
1704233602599872700,0.0,61.5,"(1338, 507)",0,1,0,0,0,0,0,0,0,0,0,0
