TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1703897380968686000,0.0,70.6,"(1051.5390625, 66.0625)",0,0,0,0,0,0,0,0,0,0,0,0
1703897381974475000,0.0,70.4,"(1051.5390625, 66.0625)",0,0,0,0,0,0,0,0,0,0,0,0
1703897382980399000,0.0,70.5,"(1113.2890625, 153.5546875)",0,0,0,0,0,0,0,0,0,0,0,0
1703897383985388000,0.0,70.5,"(1219.85546875, 261.8984375)",0,0,0,0,0,0,0,0,0,0,0,0
1703897384990266000,0.0,70.5,"(1219.85546875, 261.8984375)",0,0,0,0,0,0,0,0,0,0,0,0
1703897385993765000,0.0,71.3,"(1219.85546875, 261.8984375)",0,0,0,0,0,0,0,0,0,1,0,0
1703897386996733000,0.0,71.3,"(1217.0078125, 261.8984375)",0,0,0,0,0,0,0,0,0,0,0,0
1703897387997773000,10.1,71.3,"(1098.0703125, 232.08984375)",0,0,0,0,0,0,1,0,0,0,0,0
1703897389003170000,16.2,71.5,"(976.0703125, 297.52734375)",5,0,1,3,3,3,0,0,0,0,0,0
1703897390007124000,12.8,71.0,"(976.0703125, 297.52734375)",5,0,1,4,2,4,0,0,0,0,0,0
1703897391012565000,14.5,71.0,"(1036.3359375, 237.5390625)",2,0,0,4,4,3,0,0,0,0,0,0
1703897392017494000,0.0,70.9,"(1122.7734375, 240.3515625)",2,0,0,3,3,4,0,0,0,0,0,0
1703897393020405000,9.6,71.0,"(917.95703125, 352.85546875)",3,0,0,4,4,4,0,0,0,0,0,0
1703897394025836000,10.2,70.8,"(966.9140625, 413.52734375)",3,0,1,3,3,3,0,0,0,0,0,0
1703897395026967000,8.8,70.9,"(1008.328125, 413.52734375)",3,0,1,4,3,2,0,0,0,0,0,0
1703897396027794000,9.0,70.9,"(819.60546875, 515.94140625)",5,0,2,4,4,3,0,0,0,0,0,0
1703897397033283000,9.0,70.7,"(821.7890625, 518.3984375)",4,0,0,2,2,3,0,0,0,0,0,0
1703897398034137000,11.6,70.7,"(804.33984375, 488.6484375)",5,0,0,3,3,1,0,0,0,0,4,0
1703897399035353000,10.9,70.5,"(804.33984375, 488.6484375)",5,0,0,0,0,0,0,0,0,0,0,0
1703897400039888000,10.1,70.7,"(804.33984375, 488.6484375)",2,0,0,1,1,1,0,0,0,1,2,0
1703897401040947000,11.5,70.9,"(804.33984375, 488.6484375)",0,0,0,0,0,0,0,0,0,0,0,0
1703897402044227000,12.1,70.9,"(1170.98828125, 88.30078125)",0,0,0,0,0,0,0,0,0,0,0,0
