CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
9.5,66.9,1101.83203125,209.359375,0,0,0,0,0,0,0,0,0,0,0,0
4.5,66.9,968.53125,296.15625,0,0,0,0,0,0,0,0,0,0,0,0
19.6,66.6,938.83984375,312.30078125,0,0,0,0,0,0,0,0,0,0,0,0
24.2,67.5,654.31640625,325.453125,0,0,0,0,0,0,0,0,0,0,0,0
9.2,67.3,707.90234375,436.48046875,0,0,0,0,0,0,0,0,0,0,0,0
6.4,67.3,707.90234375,436.48046875,0,0,0,0,0,0,0,0,0,0,0,0
7.0,66.9,848.90625,423.03515625,0,0,0,0,0,0,0,0,0,0,0,0
3.5,67.0,873.9453125,424.28515625,0,0,0,0,0,0,0,0,0,0,0,0
7.0,66.9,873.9453125,424.28515625,0,0,0,0,0,0,0,0,0,0,0,0
3.2,66.7,688.5703125,414.91796875,0,0,0,0,0,0,0,0,0,0,0,0
4.2,66.7,688.5703125,414.91796875,0,0,0,0,0,0,0,0,0,0,0,0
7.0,66.7,688.5703125,414.91796875,0,0,0,0,0,0,0,0,0,0,0,0
3.5,66.7,688.5703125,414.91796875,0,0,0,0,0,0,0,0,0,0,0,0
5.9,66.6,707.13671875,422.16015625,0,0,0,0,0,0,0,0,0,0,0,0
10.7,66.6,469.9296875,507.53515625,0,0,0,0,0,0,0,0,0,0,0,0
9.0,66.8,418.3046875,526.37109375,0,0,0,0,0,0,0,0,0,0,0,0
4.5,66.7,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.7,66.7,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.2,66.7,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.5,66.7,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
5.9,66.7,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.0,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.2,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.0,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.0,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.5,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
4.5,66.6,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
2.5,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.8,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
2.0,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
2.7,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
2.5,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
9.2,66.3,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
9.4,66.4,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
12.6,66.5,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
9.2,66.3,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
7.7,66.2,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
3.3,66.1,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
8.4,65.3,892.46875,605.9453125,0,0,0,0,0,0,0,0,0,0,0,0
6.0,65.2,879.8203125,601.92578125,0,0,0,0,0,0,0,0,0,0,0,0
8.0,65.3,537.07421875,513.59765625,0,0,0,0,0,0,0,0,0,0,0,0
7.4,66.6,914.91796875,543.09375,0,0,0,0,0,0,0,0,0,0,0,0
6.5,66.5,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
5.0,66.3,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
3.0,66.3,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
3.3,66.2,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
3.2,66.2,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
6.5,66.2,686.9609375,589.36328125,0,0,0,0,0,0,0,0,0,0,0,0
3.7,66.1,1043.73046875,363.0546875,0,0,0,0,0,0,0,0,0,0,0,0
5.9,66.1,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
2.8,66.1,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
3.5,66.1,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
3.0,66.1,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
2.7,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
2.2,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
4.2,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
2.7,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
11.4,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
6.5,66.0,1046.98046875,455.890625,0,0,0,0,0,0,0,0,0,0,0,0
11.0,65.5,1083.41015625,382.5859375,0,0,0,0,0,0,0,0,0,0,0,0
